scene,variant,nbr_normal_ang_mean,nbr_normal_ang_median,nbr_normal_ang_p95
seq_1_frame_438,HO_init,47.79957962036133,43.852542877197266,92.69199409484865
seq_1_frame_438,UB_init,48.00577926635742,44.039642333984375,93.28912658691408
seq_1_frame_438,HO_128,56.17527770996094,52.351173400878906,99.28648643493652
seq_1_frame_438,HO_8,56.60143280029297,52.887290954589844,98.40437774658203
seq_1_frame_438,UB_144,55.84355163574219,52.00330352783203,99.72604751586915
seq_1_frame_438,UB_9,56.176753997802734,52.36878967285156,98.66139144897461
seq_2_frame_105,HO_init,51.48463439941406,46.9763069152832,98.51424293518069
seq_2_frame_105,UB_init,51.66494369506836,47.122894287109375,98.87979774475099
seq_2_frame_105,HO_128,59.677066802978516,55.822994232177734,103.16444282531738
seq_2_frame_105,HO_8,60.28870391845703,56.51508331298828,102.828515625
seq_2_frame_105,UB_144,59.30694580078125,55.2767333984375,103.25822830200195
seq_2_frame_105,UB_9,59.91549301147461,55.919769287109375,103.25662231445314
