scene,variant,mean,p95
seq_0_frame_135,HO_base,65.77806091308594,104.85159835815429
seq_0_frame_135,HO_S4_jit,71.23644256591797,109.75830764770508
seq_0_frame_135,HO_S4_ann,70.125732421875,109.26338882446288
seq_0_frame_135,UB_9,65.49768829345703,105.05558891296387
seq_0_frame_135,init,55.778717041015625,99.56304244995114
seq_0_frame_390,HO_base,62.53546142578125,102.88023986816401
seq_0_frame_390,HO_S4_jit,64.128173828125,104.94928894042967
seq_0_frame_390,HO_S4_ann,65.04122161865234,105.90009307861327
seq_0_frame_390,UB_9,61.862911224365234,101.67981910705565
seq_0_frame_390,init,52.24129867553711,95.77498512268065
seq_1_frame_185,HO_base,64.43395233154297,105.24147872924804
seq_1_frame_185,HO_S4_jit,68.36775207519531,109.90773925781247
seq_1_frame_185,HO_S4_ann,68.74825286865234,110.1057792663574
seq_1_frame_185,UB_9,64.59916687011719,104.24918670654294
seq_1_frame_185,init,53.29513168334961,95.80427703857421
seq_1_frame_438,HO_base,60.520023345947266,102.50596923828124
seq_1_frame_438,HO_S4_jit,62.19295120239258,103.1864303588867
seq_1_frame_438,HO_S4_ann,62.47098922729492,104.38388214111323
seq_1_frame_438,UB_9,59.9911994934082,101.65667686462402
seq_1_frame_438,init,49.01844024658203,93.93809661865234
seq_2_frame_105,HO_base,63.470054626464844,103.5851993560791
seq_2_frame_105,HO_S4_jit,67.85774230957031,110.12499122619629
seq_2_frame_105,HO_S4_ann,66.9032974243164,108.35197067260742
seq_2_frame_105,UB_9,63.190895080566406,103.89100532531737
seq_2_frame_105,init,52.34628677368164,98.87355270385741
seq_2_frame_160,HO_base,57.54008102416992,96.51980476379394
seq_2_frame_160,HO_S4_jit,59.14253616333008,98.53469848632811
seq_2_frame_160,HO_S4_ann,59.56730651855469,99.18825073242188
seq_2_frame_160,UB_9,57.143306732177734,96.61510887145995
seq_2_frame_160,init,52.524757385253906,97.34744071960449
seq_2_frame_300,HO_base,63.36549377441406,105.02710227966308
seq_2_frame_300,HO_S4_jit,69.16670989990234,109.67787971496581
seq_2_frame_300,HO_S4_ann,68.55244445800781,109.91216468811034
seq_2_frame_300,UB_9,63.53263854980469,104.79678001403808
seq_2_frame_300,init,50.85231399536133,95.65920524597168
