scene,variant,mean,median,p95
seq_1_frame_438,init,49.01844024658203,44.72892379760742,93.93809661865234
seq_1_frame_438,HO_128,59.94968795776367,56.39813232421875,101.63861694335937
seq_1_frame_438,HO_8,60.520023345947266,57.18250274658203,102.50596923828124
seq_1_frame_438,UB_144,59.70736312866211,56.17442321777344,101.92623443603514
seq_1_frame_438,UB_9,59.9911994934082,56.70388412475586,101.65667686462402
seq_2_frame_105,init,52.34628677368164,47.735679626464844,98.87355270385741
seq_2_frame_105,HO_128,62.96243667602539,59.50385284423828,104.16364250183105
seq_2_frame_105,HO_8,63.470054626464844,60.15931701660156,103.5851993560791
seq_2_frame_105,UB_144,62.8267936706543,59.557716369628906,104.39589576721191
seq_2_frame_105,UB_9,63.190895080566406,59.48616027832031,103.89100532531737
